Task ID,Task Name,Role,Description,List (Sprint),Milestone,Status,Priority,Start Date,Due Date,Duration (days),Depends On,External Blocker,Assignee
IKM-2,Hasil survei + snapshot,Backend,GET /surveys/:id/results (live + snapshot ke ikm_results saat ditutup),S4 - IKM,M4 - IKM (MVP),To Do,Urgent,2026-09-03,2026-09-04,2,IKM-1,,Backend
CMP-1,Pengaduan core,Backend,"POST /complaints (ticketNo unik), GET list (filter kepemilikan), GET :ticketNo",S5 - Pengaduan,Fase 2 - Pengaduan,To Do,High,2026-09-07,2026-09-09,3,USR-1,,Backend
CMP-2,Lampiran multi-file,Backend,Upload multipart ke complaint_attachments (storage volume),S5 - Pengaduan,Fase 2 - Pengaduan,To Do,Normal,2026-09-10,2026-09-11,2,CMP-1,,Backend
CMP-3,Transisi status pengaduan,Backend,PATCH /complaints/:id/status (diproses/selesai/ditolak),S5 - Pengaduan,Fase 2 - Pengaduan,To Do,High,2026-09-14,2026-09-14,1,CMP-1,,Backend
CMP-4,Replies pengaduan,Backend,"GET/POST /complaints/:id/replies (riwayat percakapan)",S5 - Pengaduan,Fase 2 - Pengaduan,To Do,Normal,2026-09-15,2026-09-16,2,CMP-1,,Backend
DASH-1,Dashboard agregat kabupaten,Backend,GET /dashboard/ikm - agregat & perbandingan IKM semua OPD + filter,S6 - Agregasi & Ekspor,Fase 2 - Agregasi,To Do,High,2026-09-17,2026-09-18,2,IKM-2,,Backend
EXP-1,Export laporan,Backend,GET /surveys/:id/results/export (CSV-Excel-PDF),S6 - Agregasi & Ekspor,Fase 2 - Agregasi,To Do,Normal,2026-09-21,2026-09-23,3,IKM-2,,Backend
AUD-1,Audit log,Backend,"Rekam aksi admin, GET /audit-logs",S7 - Penyempurnaan,Fase 3 - Penyempurnaan,To Do,Normal,2026-09-24,2026-09-28,3,USR-1,,Backend
QST-3,Pilihan ganda (backend),Backend,Implementasi tipe pilihan (question_options + selected_option_id + scoring),S7 - Penyempurnaan,Fase 3 - Penyempurnaan,To Do,Low,2026-09-29,2026-10-01,3,QST-1,,Backend
NOTIF-1,Notifikasi email/in-app,Backend,Notifikasi ke responden saat status pengaduan berubah,S7 - Penyempurnaan,Fase 3 - Penyempurnaan,To Do,Normal,2026-10-02,2026-10-06,3,CMP-3,,Backend
PERF-1,Hardening & security backend,Backend,"Optimasi query, rate limiting, OWASP, review keamanan",S7 - Penyempurnaan,Fase 3 - Penyempurnaan,To Do,High,2026-10-07,2026-10-09,3,IKM-2,,Backend
SSO-1,SsoAuthProvider (OIDC nyata),Backend,"Ganti Stub: OIDC callback, JIT provisioning, JWKS, sesi lokal. MENUNGGU SPEC SSO HELPDESK",S8 - Integrasi Eksternal,Fase 3 - Integrasi,Blocked,High,2026-10-12,2026-10-15,4,BE-SEAM,Spec SSO Helpdesk,Backend
OPD-4,HelpdeskOpdClient (sync nyata),Backend,Ganti StubOpdSource dengan klien HTTP API OPD Helpdesk. MENUNGGU API HELPDESK,S8 - Integrasi Eksternal,Fase 3 - Integrasi,Blocked,High,2026-10-16,2026-10-19,2,OPD-3,API OPD Helpdesk,Backend
FE-SETUP,Setup Next.js + fondasi FE,Frontend,"Scaffold App Router, design system/UI kit, service layer API client (envelope), middleware RBAC 3 area, layout shell (public/opd/kabupaten)",S1 - Master Data,M1 - Master Data,To Do,High,2026-07-23,2026-08-05,8,BE-SEAM,,Frontend
FE-AUTH,Halaman login SSO + profil,Frontend,"Alur login SSO (redirect/callback), halaman /profil, proteksi sesi",S2 - Survei,M1 - Master Data,To Do,High,2026-08-06,2026-08-10,3,FE-SETUP,,Frontend
FE-OPD-KAB,Area Kabupaten: kelola OPD & akun admin,Frontend,"/kabupaten/opd, /kabupaten/opd/[id], /kabupaten/admin, /kabupaten/admin/baru",S2 - Survei,M1 - Master Data,To Do,High,2026-08-11,2026-08-18,6,FE-AUTH,,Frontend
FE-SVY,Area OPD: kelola survei & pertanyaan,Frontend,"/opd/dashboard, /opd/survei, /opd/survei/baru, /opd/survei/[id], /opd/survei/[id]/pertanyaan (template + kustom)",S3 - Pengisian,M2 - Survei,To Do,High,2026-08-19,2026-08-27,7,FE-OPD-KAB,,Frontend
FE-FILL,Area Responden: isi survei,Frontend,"/surveys, /surveys/[id] (isi kuesioner), /surveys/[id]/selesai (konfirmasi)",S4 - IKM,M3 - Pengisian,To Do,High,2026-08-28,2026-09-04,6,FE-SVY,,Frontend
FE-HASIL-OPD,Halaman hasil survei OPD + IKM,Frontend,/opd/survei/[id]/hasil - NRR per unsur + nilai IKM + mutu + tren,S4 - IKM,M4 - IKM (MVP),To Do,High,2026-09-07,2026-09-11,4,FE-FILL,,Frontend
FE-PENGADUAN-RESP,Pengaduan (responden),Frontend,"/pengaduan, /pengaduan/baru (upload lampiran), /pengaduan/[ticketNo] (lacak + reply)",S5 - Pengaduan,Fase 2 - Pengaduan,To Do,High,2026-09-14,2026-09-18,4,FE-HASIL-OPD,,Frontend
FE-PENGADUAN-OPD,Pengaduan (Admin OPD),Frontend,"/opd/pengaduan, /opd/pengaduan/[ticketNo] (tangani, ubah status, reply)",S5 - Pengaduan,Fase 2 - Pengaduan,To Do,Normal,2026-09-21,2026-09-24,3,FE-PENGADUAN-RESP,,Frontend
FE-DASH-KAB,Dashboard agregat + hasil-survei kabupaten,Frontend,"/kabupaten/dashboard (agregat IKM), /kabupaten/hasil-survei (perbandingan)",S6 - Agregasi & Ekspor,Fase 2 - Agregasi,To Do,High,2026-09-25,2026-10-01,4,FE-PENGADUAN-OPD,,Frontend
FE-PENGADUAN-KAB,Pantau pengaduan kabupaten,Frontend,/kabupaten/pengaduan - pantau lintas OPD (read-only + statistik),S6 - Agregasi & Ekspor,Fase 2 - Agregasi,To Do,Normal,2026-10-02,2026-10-05,2,FE-DASH-KAB,,Frontend
FE-EXPORT-UI,Tombol & dialog export laporan,Frontend,UI export PDF/Excel/CSV pada halaman hasil & dashboard,S6 - Agregasi & Ekspor,Fase 2 - Agregasi,To Do,Normal,2026-10-06,2026-10-06,1,FE-DASH-KAB,,Frontend
FE-AUDIT,Halaman audit log kabupaten,Frontend,/kabupaten/audit - log aktivitas admin,S7 - Penyempurnaan,Fase 3 - Penyempurnaan,To Do,Low,2026-10-07,2026-10-08,2,FE-DASH-KAB,,Frontend
FE-NOTIF,Notifikasi in-app,Frontend,Komponen notifikasi (bell + list) status pengaduan,S7 - Penyempurnaan,Fase 3 - Penyempurnaan,To Do,Normal,2026-10-09,2026-10-12,2,FE-PENGADUAN-RESP,,Frontend
FE-PILIHAN,UI pertanyaan pilihan ganda,Frontend,Editor & pengisian tipe pertanyaan pilihan (Fase 3),S7 - Penyempurnaan,Fase 3 - Penyempurnaan,To Do,Low,2026-10-13,2026-10-14,2,FE-SVY,,Frontend
FE-HARDENING,Responsif & aksesibilitas,Frontend,"Mobile-first, kontras, label form, loading/error state, uji lintas peramban",S7 - Penyempurnaan,Fase 3 - Penyempurnaan,To Do,High,2026-10-15,2026-10-19,3,FE-DASH-KAB,,Frontend
FE-SSO-INT,Integrasi SSO nyata (FE),Frontend,Integrasi alur login dengan SSO Helpdesk nyata. MENUNGGU SPEC SSO,S8 - Integrasi Eksternal,Fase 3 - Integrasi,Blocked,High,2026-10-20,2026-10-22,3,SSO-1,Spec SSO Helpdesk,Frontend
QA-PLAN,Test plan & desain test case,Tester,"Rencana uji, matriks test case per modul, setup Postman/collection + E2E tooling (Playwright/Cypress)",S1 - Master Data,M1 - Master Data,To Do,High,2026-07-28,2026-08-05,6,BE-SEAM,,Tester
QA-M1,QA Master Data (OPD/Users/Referensi),Tester,"Uji OPD sync + read, Users provisioning, RBAC data-isolation, kategori & unsur",S2 - Survei,M1 - Master Data,To Do,High,2026-08-19,2026-08-25,5,USR-1;FE-OPD-KAB,,Tester
QA-M2,QA Survei & Pertanyaan,Tester,"Uji CRUD survei, lifecycle status, questions reorder, template 9 unsur, duplicate",S3 - Pengisian,M2 - Survei,To Do,High,2026-09-01,2026-09-07,5,QST-2;FE-SVY,,Tester
QA-M3,QA Pengisian Survei,Tester,"Uji survei aktif, isi kuesioner, submit, anti-duplikat 409, integritas jawaban",S4 - IKM,M3 - Pengisian,To Do,High,2026-09-08,2026-09-14,5,RESP-1;FE-FILL,,Tester
QA-M4-IKM,QA Akurasi IKM (KRITIS),Tester,"Validasi perhitungan IKM otomatis vs manual (selisih 0), NRR per unsur, mutu, snapshot",S4 - IKM,M4 - IKM (MVP),To Do,Urgent,2026-09-15,2026-09-21,5,IKM-2;FE-HASIL-OPD,,Tester
QA-PENGADUAN,QA Modul Pengaduan,Tester,"Uji tiket, status, replies, lampiran multi-file, kepemilikan data lintas peran",S5 - Pengaduan,Fase 2 - Pengaduan,To Do,High,2026-09-22,2026-09-28,5,CMP-4;FE-PENGADUAN-OPD,,Tester
QA-DASH-EXPORT,QA Dashboard & Export,Tester,"Uji agregat IKM kabupaten, filter, perbandingan, export PDF/Excel/CSV",S6 - Agregasi & Ekspor,Fase 2 - Agregasi,To Do,High,2026-09-29,2026-10-05,5,DASH-1;EXP-1;FE-DASH-KAB,,Tester
QA-E2E,QA End-to-End 4 User Flow,Tester,"E2E: (A) responden isi survei, (B) OPD buat survei, (C) alur pengaduan, (D) kabupaten pantau",S6 - Agregasi & Ekspor,Fase 2 - Agregasi,To Do,High,2026-10-06,2026-10-12,5,QA-DASH-EXPORT,,Tester
QA-FASE3,QA Audit/Notifikasi/Pilihan Ganda,Tester,"Uji audit log, notifikasi status, pertanyaan pilihan ganda",S7 - Penyempurnaan,Fase 3 - Penyempurnaan,To Do,Normal,2026-10-13,2026-10-19,5,AUD-1;NOTIF-1;FE-NOTIF,,Tester
QA-REGRESSION,QA Regression Menyeluruh,Tester,Regression seluruh modul setelah Fase 3 + verifikasi perbaikan bug,S7 - Penyempurnaan,Fase 3 - Penyempurnaan,To Do,High,2026-10-20,2026-10-26,5,QA-FASE3;FE-HARDENING,,Tester
QA-SECURITY-UAT,QA Keamanan & UAT Awal,Tester,"Uji OWASP (SQLi/XSS/CSRF), rate limit, otorisasi tiap endpoint, UAT stakeholder awal",S8 - Integrasi Eksternal,Fase 3 - Integrasi,To Do,High,2026-10-27,2026-11-02,5,QA-REGRESSION,,Tester
QA-PERF,QA Performa,Tester,"Load test dashboard <3s untuk ribuan responden, uji ketersediaan",S8 - Integrasi Eksternal,Fase 3 - Integrasi,To Do,Normal,2026-11-03,2026-11-06,4,QA-REGRESSION,,Tester
QA-FINAL-UAT,QA Integrasi Final & UAT Sign-off,Tester,"Uji integrasi SSO + sync OPD Helpdesk nyata, full regression, UAT stakeholder, sign-off go-live",S9 - Go-Live,Go-Live Readiness,To Do,Urgent,2026-11-09,2026-11-20,10,SSO-1;OPD-4;FE-SSO-INT;QA-SECURITY-UAT,Integrasi Helpdesk,Tester
GO-LIVE,Milestone: Go-Live Readiness,Tester,Kesiapan rilis produksi (semua modul lolos QA + UAT sign-off + integrasi eksternal),S9 - Go-Live,Go-Live Readiness,To Do,Urgent,2026-11-23,2026-11-23,1,QA-FINAL-UAT,,Tester
